Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01002128,S01002128,47.83,47.83,29.17,20,0,0,0,33.33,33.33,30.77,5.56,2.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002129,S01002129,38.46,45.45,27.27,16.67,0,11.11,11.11,23.08,26.32,18.52,12.5,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002130,S01002130,50,62.5,14.29,9.09,0,0,0,20,38.46,33.33,27.27,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002131,S01002131,60,53.33,47.06,20,0,0,0,11.11,23.08,22.22,13.33,4.35,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002132,S01002132,42.86,36.36,16,0,0,0,5.56,15.38,25,22.73,13.33,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002133,S01002133,60,69.23,42.31,13.79,3.13,3.33,9.68,28.13,44.44,38.46,19.05,2.27,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002134,S01002134,50,45.45,30,7.14,0,0,0,7.14,33.33,40,30,10,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002135,S01002135,42.31,50,35,15.79,4.76,0,8.7,7.69,15.79,5.56,10,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002136,S01002136,50,53.85,28.57,7.14,0,0,4.17,5.88,30.43,24,19.35,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002137,S01002137,72.73,77.27,37.5,15.79,0,0,3.85,16,26.09,25,14.29,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002138,S01002138,41.67,50,21.05,8.33,3.57,3.85,0,4.55,13.04,10,7.14,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002139,S01002139,46.67,48,19.23,4.35,0,0,0,3.7,14.29,17.39,13.64,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002140,S01002140,41.18,50,31.58,9.52,3.85,0,0,15.63,28.57,21.74,10.64,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002141,S01002141,42.42,48.15,18.52,3.57,3.57,0,0,23.53,34.29,38.71,18.52,4.55,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002142,S01002142,47.37,50,25,14.29,0,0,0,3.45,11.11,17.65,12.5,3.85,"","","","","",""
