Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,6.83,7.84,9.71,8.04,7.12,5.78,8.28,9.3,9.94,7.97,8.87,9.12,9.61,9.09,8.7,8.38,6.46,5.11
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",4.13,4.79,5.77,6.4,7.51,7.68,7.46,6.73,6.4,6.8,6.86,7.5,9.43,13.64,15.38,14.27,9.07,5.9
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,8.7,9.05,10.31,11.85,13.82,13.74,13.78,14.32,15.87,18.17,21.28,21.63,19.63,15.36,12.9,11.59,10.54,9.89
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,9.63,11.2,13.74,16.57,18.73,20.42,20.16,17.98,13.5,10.9,10.78,11.06,11.34,11.29,13.98,16.4,18.29,17.57
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,17.82,17.47,18.79,19.16,20.31,20.44,20.41,18.85,16.74,15.58,15.03,14.75,13.48,12.97,13.02,13.76,14.02,14.48
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,6.62,7,7.46,7.93,8.76,8.63,8.51,9.3,9.58,13.57,17.55,22.73,22.25,21.58,21.17,22.04,22.5,22.2
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,21.41,21.79,20.06,18.53,18.46,20.62,22.51,21.94,20.1,18.64,18.78,18.79,16.58,14.92,13.43,14.09,14.44,15.85
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,3.19,3.03,2.53,1.1,0.56,3.64,5.38,5.12,6.35,11.78,21.25,25.37,25.55,23.38,21.85,20.89,19.58,20.23
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",2.76,3.79,4.96,5.05,4.44,6.29,6.8,7.57,7.97,11.53,15.2,16.77,16.21,15.14,15.02,14.62,14.75,14.94
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,5.57,5.68,5.58,8.46,9.78,10.97,10.87,12.78,12.7,13.93,13.62,14.54,13.58,12.56,12.13,11.58,12.71,16.74
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,4.1,4.53,4.96,5.73,5.82,6.75,7.48,7.62,7.6,6.76,6.51,5.85,6.64,8.69,9.83,9.57,6.72,4.97
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,8.69,8.15,8.38,8.75,11.26,9.73,8.25,7.08,8.64,9.73,7.9,9.45,9.44,10.19,8.62,8.62,7.62,6.7
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,18.7,19.13,20.12,18.88,16.96,14.94,16.36,15.65,14.87,13.42,15.44,16.19,16.13,14.4,13.41,12.3,11.87,11.68
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,6.77,6.8,7.94,12.25,13.79,17.23,16.44,16.67,13.82,12.71,11.76,12.48,11.51,9.01,8.41,10.67,18.11,21.32
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,7.91,8.42,9,10.13,10.2,11.25,10.56,10.04,9.41,11.12,12.79,13.44,12.72,13.37,13.46,11.76,7.16,4.91
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,9.08,9.9,9.51,11.89,12.31,13.97,12.65,11.02,9.82,10.39,10.74,10.41,8.37,6.37,5.05,6.64,8.48,9.65
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,6.28,6.85,6.61,9.06,10.53,12.92,12.6,11.33,9.97,9.56,9.02,8.52,7.62,6.75,5.97,6.51,8.05,9.23
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,8,8.55,9.14,9.84,9.68,9.17,8.72,8.96,9.35,10.52,11.03,11.57,10.73,11.81,11.71,10.21,6.65,4.8
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,9.02,9.7,9.48,9.55,9.66,9.17,9.61,9.01,9.3,10.83,12.9,13.57,12.62,12.18,12.05,10.03,6.3,4.05
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,10.98,11.06,11.7,12.87,12.16,9.36,5.49,3.26,5.92,8.65,10.75,10.29,10.63,11.4,11.47,10.16,7.56,4.71
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,6.22,6.03,8.17,9.84,9.32,7.84,8.71,13.6,14.02,11.84,11.44,14.1,15.02,12.48,9.47,8.79,13,17.89
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",7.06,6.98,8.57,10.65,13.99,15.34,16.23,17.15,18.24,19.1,20.52,22.23,19.98,17.81,15.35,16.02,14.76,13.37
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,6.33,6.65,5.91,4.53,3.12,2.03,2.59,4.83,4.67,3.42,0.68,1.3,3.53,4.97,6.54,5.96,5.39,4.01
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,10.59,10.92,12,12.34,11.42,8.24,4.24,1.63,3.46,5.8,8.55,9.19,10.96,12.18,12.52,11.85,9.96,7.74
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,3.36,4.52,4.94,5.57,6.02,5.68,5.12,4.98,6.2,7.27,7.07,6.33,7.38,8.86,11.08,11.2,9.35,6.55
